Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Price,
6.50322147,6.974804487,3.08,1554634.995,
5.493161996,7.650205974,6.09,1011365.365,
7.303749826,7.337589917,6.33,1432756.517,
5.778524695,8.430787826,4.32,1612717.553,
6.367973326,5.493294013,4.2,973299.8618,
5.205508259,6.462700239,4.21,679228.9927,
5.900247576,8.467599729,6.03,1270999.939,
5.354922556,7.375559651,4.42,910211.0189,
5.189911336,7.191572627,4.43,1026271.796,
7.754160967,6.916338174,4.05,1496729.536,
6.357250993,7.8515296,5.27,1490539.058,
6.480979871,8.245224408,5.4,1491838.494,
6.804016971,8.971111959,3.11,996771.2482,
5.535920946,4.679134254,2.03,1064854.309,
5.67760881,6.534959524,4.05,985749.7874,
7.328943583,9.442325018,4.35,1952622.402,
7.068466766,6.207145314,3.02,1754969.162,
5.735499522,6.979752379,3.23,1122240.364,
5.624500144,5.967832307,3.23,1236931.728,
4.374148491,6.350156836,4.47,966084.4204,
4.728804322,5.012885306,4.4,852268.6717,
7.31890726,6.252757358,2,1280669.873,
5.95937925,5.74843726,3.36,1190213.513,
5.728201697,7.282106847,4.2,1123851.141,
7.955766597,7.826124971,3.12,1689120.427,
7.174569183,8.343557927,3.49,1573347.788,
6.766853185,8.33708535,3.34,1696977.663,
7.019666733,5.450658517,2.27,1414286.724,
5.064855375,6.649447661,2.27,755292.1144,
6.293585382,6.048295389,2.31,714706.4289,
5.364982406,6.667365547,4.09,944001.5583,
6.483153394,6.908829672,3.01,1523136.485,
6.501686215,6.647662431,3.33,1422916.811,
7.097245831,7.00842733,6.11,1945618.658,
5.488196879,6.509449186,2.48,1726719.067,
6.674070665,7.524542188,5.17,1051123.833,
8.248959366,7.234261404,5,2249122.541,
6.798993828,8.599555446,4.48,1523915.145,
4.54230638,6.981984299,3,1039517.534,
6.533916122,7.162535697,3.47,818057.8953,
5.233977928,7.285225482,4.43,1115466.585,
5.662286845,6.9812466,2.46,1258178.804,
6.362565275,8.441119043,3.31,1435423.708,
5.975373486,5.810942512,3.49,1153470.44,
8.561761657,5.197253905,2.07,1425603.495,
6.257028601,7.863188943,4.5,1048350.692,
6.467126893,6.333920562,3.41,1214482.379,
4.531777656,6.860860394,2.15,821859.0657,
5.550543628,6.798805806,4.44,753652.2718,
3.992420475,7.332769653,6.12,1220001.334,
6.724123387,7.706580735,5.41,1075675.108,
6.223626136,7.392675062,3.1,1396082.352,
7.826435952,7.320562834,6.03,1137801.933,
5.74650959,6.232295865,2.19,1159953.593,
6.377936931,7.736294493,5.07,1487849.876,
6.408500651,5.538058083,3.5,1103072.439,
5.805732788,7.425903425,3.48,897291.1153,
5.573231808,7.027355369,3.26,1214320.574,
5.761755985,8.065659921,5.28,1364363.375,
5.23965341,7.282521302,3.21,1249092.928,
5.459845342,5.014916517,2.47,946479.2349,
4.692855436,6.010742815,2.27,1659805.184,
6.289993194,7.21840033,4.46,1285399.565,
6.00205394,4.9673884,4.17,898281.9025,
6.291501388,7.037477117,5.04,1483848.169,
7.161865646,6.22497133,2.36,1353488.416,
6.168255827,7.24149204,5.11,1268703.811,
6.299268667,7.33029276,6.14,1448573.845,
6.35533372,5.881851885,3.49,1343605.8,
7.73383489,5.740479724,4.21,1511537.745,
5.940325276,7.691535725,3.31,1662038.759,
6.46969413,8.017692368,3.23,1166673.195,
6.325821835,7.472849853,6.39,1375633.373,
4.458997393,7.063683439,4.16,839638.461,
6.440796383,7.661280263,3.1,1638265.395,
6.493916521,8.219394258,5.15,1385400.456,
4.13269444,7.204458615,3.36,1153233.241,
5.322287408,7.958894134,5.28,1370178.474,
5.562622947,6.938908153,2.02,1181877.183,
5.299694,6.23461464,4.23,894251.0686,
5.890269353,7.935510756,5.15,1421135.815,
5.899946659,5.630525332,4.04,1028964.474,
3.727083933,7.655452911,3.2,923508.1257,
6.327089456,8.366505984,6.34,1599634.465,
5.53968589,8.20329527,5.26,1369186.07,
7.030844864,6.629940742,4.16,1748782.809,
6.381029538,8.308603108,4.07,1150877.735,
5.096643486,8.971411852,5.49,1110598.755,
5.711384515,7.168189941,4.21,1159207.085,
5.7673672,7.421920927,3.02,1811377.221,
5.854378134,8.48252252,4.18,1267443.398,
7.336016031,5.360885834,3.22,1352547.693,
5.778489499,5.497449839,2.29,599504.0193,
4.617497453,6.264975083,4.19,717213.2688,
6.415066656,5.810728687,3.43,1008712.575,
5.483242752,5.49031182,3.25,1071596.112,
6.550682933,6.60035835,4.46,1397341.856,
6.162767487,7.109924045,6.45,1313304.588,
6.370867095,8.423788158,3.01,2106510.863,
4.826564705,7.111526404,3.44,1306458.906,
5.250630616,6.404905702,3.29,1354928.95,
7.309462287,8.56260323,4.49,1582765.592,
6.027445797,6.464112096,3.44,847155.0413,
5.933625869,7.124916623,4.13,1342245.969,
5.281560667,7.681342023,4.16,1363086.905,
5.30217342,7.035171036,6.4,1275318.562,
7.509043842,7.10931161,3.11,1285923.734,
7.424253139,7.25760419,3.38,1789607.526,
4.692580036,6.287424348,2.15,1196064.33,
5.914724659,6.133645727,3.1,1917583.999,
6.85020814,6.147313624,4.39,1370274.387,
5.980419348,8.459144706,3.07,1677204.246,
5.695144684,5.780350789,2.37,1439714.281,
7.186340287,7.138233914,3.32,1012262.712,
4.825804425,9.069530122,3.37,1511743.129,
5.251586751,7.188679025,4.42,1131154.518,
3.786709298,7.420949611,4.47,764860.4627,
6.680451317,6.261276083,2.29,1681316.362,
5.480142489,6.485365977,3.17,291724.2456,
3.994323302,7.105746768,3.13,1013252.209,
4.025767576,7.526834227,4.28,1194709.628,
5.980047679,7.992009255,4.25,1463003.056,
6.5290827,9.152072899,6.5,1453327.916,
6.11384862,6.744617688,3.2,1291506.386,
7.23397367,7.380798426,6.29,1625508.013,
5.76757471,7.266027597,5.49,566896.2123,
4.695568136,8.045728241,4.14,1468513.244,
4.801958518,8.837002372,3.12,1573105.981,
4.128879951,7.522948688,5.18,968360.5234,
7.48094133,6.725864179,3.19,1309985.887,
7.475217032,4.994689786,4.26,1361219.3,
7.488368606,8.791775366,6.14,1465120.47,
6.766015619,7.80646322,5.4,1571464.965,
4.847002321,8.672978876,5.41,1629098.182,
5.156588693,7.175189117,5.18,1182335.68,
5.877126915,5.761669848,3.2,1010813.709,
5.435725734,6.449025947,3.3,924728.5374,
6.543983828,7.884325909,3.28,1382110.278,
6.42853384,8.599781516,3.32,1366727.663,
6.495344396,6.618398933,4.02,1297849.764,
7.560599416,7.270138268,6.47,1196687.687,
5.646510162,6.896793461,4.12,1281113.315,
5.84297074,7.031799423,5.36,1530729.578,
7.20944363,7.153039164,6.2,1208664.863,
5.533214496,7.447127443,5.2,1417275.667,
5.328192738,7.311134732,6.13,1195601.962,
7.70013211,9.708803015,5.19,2469065.594,
6.958044864,7.502115314,3.38,1223100.542,
6.472118818,5.042575354,2.27,1220276.551,
7.002128568,6.285246737,3.09,1311765.141,
7.126074829,8.527952465,6.29,1198313.598,
4.537668422,6.029203977,3.19,1187609.122,
7.445436394,6.808878929,2.2,1399662.584,
6.372610689,8.869466561,4.23,1597776.771,
7.691464822,7.186177831,4.22,1355022.283,
6.739317782,7.626799142,5.47,1137059.188,
4.891102691,8.002542521,3.04,1053815.097,
4.313977841,7.698764603,4.48,1242421.532,
6.006171337,7.794364246,3.11,1222041.016,
6.057649472,6.766129639,2.17,1025461.134,
3.997533151,7.839552495,4.26,859427.9793,
6.053873157,7.267597143,5.01,1279803.95,
8.057346518,5.637279177,4.13,1671669.452,
7.073681923,7.13254045,3.08,1525601.791,
4.441899293,7.906105021,4.27,998773.9973,
6.775334135,6.641306834,4.22,1012321.574,
5.272233698,7.937358365,3.12,1252419.196,
6.359688876,7.349121497,6.39,1869313.107,
7.616643686,6.764442872,3.23,1800685.922,
6.223896597,7.289358525,6.43,1393100.423,
6.062755515,6.368791728,4.29,1166558.374,
5.064611431,7.481091173,5.49,988175.0074,
6.961396906,7.199332031,4.41,1540480.613,
4.273992745,5.57526046,3.05,866142.1839,
4.937434807,6.346327564,2.41,557362.2043,
5.930501633,6.974340367,4.47,1033290.975,
4.186458038,5.987896444,3.44,1084945.4,
6.987280238,3.236194023,3.42,1365081.178,
5.875971757,5.227988168,4.12,1239459.815,
8.064452551,7.203915755,4.17,2056692.768,
6.790821808,6.431430338,3.4,1045395.329,
6.119687512,6.083928892,2.31,1679204.741,
5.858157004,7.336340464,5.39,1158742.83,
6.821881251,7.630184981,6.06,1647278.685,
5.561739644,8.583309247,5.24,1702090.635,
6.646559611,7.110696223,3.21,1379386.383,
5.48771254,9.462719992,4.04,1358526.741,
5.639329458,6.299807262,3.13,991398.8219,
6.486062242,6.458296196,4.42,957117.6472,
6.830319022,5.64536314,3.38,1638969.269,
5.038331737,6.050791519,2.15,714142.2407,
5.594251333,4.458940625,2.21,760876.0222,
5.404097947,6.699021847,2.05,1343537.178,
4.516448215,6.470649695,2.27,1056993.649,
5.702618665,6.66750525,4.5,1088222.421,
6.65834561,7.889947558,3.01,1308983.632,
6.189855327,9.166350403,3.46,1548322.501,
5.457043917,7.756919908,4.41,1411749.107,
6.831473302,6.654884952,4.17,1601904.357,
6.249503548,7.474265068,4.31,1277297.483,
6.19439163,6.914308887,3.31,1061552.022,
7.095153274,6.8242861,3.01,1115013.147,
4.259876465,7.483565029,3.02,1020842.531,
7.513542037,6.703125019,4.3,1440961.857,
5.659123168,6.41017391,2.45,817377.311,
6.860059982,6.807331848,2.47,1381536.934,
4.853665891,8.675574518,3.46,1273067.036,
8.236623014,7.009803231,6.31,1376714.674,
6.44025247,6.699206813,2.08,1293746.876,
6.147845579,7.378950007,3.46,1750908.224,
6.925375603,5.1947819,3.3,555811.4067,
7.058045773,7.146514915,5.44,1578829.012,
5.496668278,6.337285588,3.22,911202.1683,
6.571495853,7.719301234,5.18,1628751.935,
5.611772057,6.867242299,2.11,1245400.955,
6.21027074,6.363084014,2.13,993725.2172,
4.910953601,8.621772096,4.08,1816099.138,
6.182493965,8.756044656,4.07,1570583.34,
6.637633898,7.531227671,4.05,1626321.321,
4.102335552,6.912506242,2.29,1262494.287,
5.695897215,5.856581441,3.08,1185226.617,
6.872089194,6.105858132,3.1,1360329.359,
5.217987014,7.758415332,3.37,1350459.116,
5.470850799,6.913134346,2.22,1556987.724,
6.067487348,7.783690871,4.17,886036.1295,
6.200391541,7.579479162,6.4,1129613.01,
4.946107518,7.12451931,3.32,1070240.02,
6.394246586,7.205733258,3.48,1587015.357,
4.227764832,8.182415082,3.26,1146321.581,
6.334673345,7.991329323,5.41,1377447.349,
6.311198444,5.903083907,3.06,1113570.852,
6.77233639,6.222862551,2.16,1593836.785,
4.454425782,8.509775274,6.1,1560746.866,
7.044519672,6.565375468,2.26,977980.9211,
4.844146012,6.747509818,2.41,1292592.392,
5.397718982,8.504044902,5.24,1458912.584,
6.792255503,6.132714372,2.49,1037780.48,
7.320676246,7.498418863,6.24,1792254.818,
6.068556846,6.906695715,2.1,882170.3184,
5.431862976,7.351397521,5.45,1883481.075,
6.652657092,6.231167774,3.06,1268600.361,
5.139113766,7.572943157,3.17,1157189.438,
5.258393115,6.873655818,4.12,1180989.324,
6.796332429,8.493990921,3.29,1813043.926,
4.945615214,6.240884739,2.04,866666.0554,
5.686293112,8.05074733,6.12,1671350.14,
5.919090479,7.543276404,6,1137467.586,
6.446352759,5.070184059,4.24,711499.2446,
7.578855091,6.119832859,2.14,1940195.374,
7.817418542,9.410156957,4.18,1496466.357,
5.255407345,8.205980045,3.16,1448995.115,
5.857966088,6.075797822,4.02,924271.7911,
6.323865593,7.060329951,6.11,1747004.583,
6.434539658,8.301310137,4.05,1576286.214,
7.030649618,6.506991389,4.39,1712280.706,
7.11005271,7.340614471,4,1852375.507,
8.334376723,6.084508514,4.38,1007596.043,
5.675103554,6.795504431,4.42,1034779.19,
6.311996291,6.40694457,4.45,1006544.527,
5.24116251,6.393980784,2.33,736798.5333,
6.801245634,6.677087285,3.32,1109006.287,
7.163657225,7.75175405,5.17,1384140.227,
6.14098961,8.848999368,3.15,2084883.79,
5.308936928,6.767455055,4.42,801194.6198,
6.204022608,5.877785179,3.06,1412242.755,
7.250403733,7.506903351,4.14,1890789.177,
5.879915504,7.438630683,5.24,1841904.243,
6.077935134,7.131393662,6.31,1467075.169,
5.892496999,6.708809212,3.37,661043.3565,
5.527126902,6.282827422,3.21,978035.3448,
6.334282673,8.424079331,4.01,1250882.292,
6.515076987,5.87583185,3.33,1409238.798,
5.613920924,6.415893843,3.42,1162746.621,
5.824410874,7.043611453,6.44,878862.7457,
5.669181494,7.091345492,3.29,1338424.788,
5.709771696,7.404870424,5.13,1094347.968,
6.232564644,6.900568875,4.07,1195897.741,
4.73235732,8.105671724,5.05,1050239.904,
5.079006175,7.053927147,5.12,914231.2923,
6.30636892,6.35862933,3.35,864483.7585,
6.548274287,6.539985895,3.1,1599478.986,
7.097452091,6.920409265,4.38,1336356.233,
6.182167977,7.301723912,5.07,1808341.466,
7.402303153,7.219763304,3.27,1424283.373,
5.69805435,6.645553737,3.47,1471799.676,
6.596081195,7.103157515,4.15,1347622.483,
7.1079515,7.61216851,5.1,1163741.658,
